code,term,term_clean,semantic_tag
1489008,Hordeolum externum (disorder),Hordeolum externum,disorder
1507005,Mycobacterium kansasii (organism),Mycobacterium kansasii,organism
1522000,Plaque (morphologic abnormality),Plaque,morphologic abnormality
1532007,Viral pharyngitis (disorder),Viral pharyngitis,disorder
1537001,Intervertebral disc structure of eleventh thoracic vertebra (body structure),Intervertebral disc structure of eleventh thoracic vertebra,body structure
1539003,Acquired trigger finger (disorder),Acquired trigger finger,disorder
1542009,Omphalocele with obstruction (disorder),Omphalocele with obstruction,disorder
1563006,Protein S deficiency disease (disorder),Protein S deficiency disease,disorder
1658003,Closed fracture of acromial end of clavicle (disorder),Closed fracture of acromial end of clavicle,disorder
1663004,G2 grade (finding),G2 grade,finding
1679003,Arthritis associated with another disorder (disorder),Arthritis associated with another disorder,disorder
1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)","Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",disorder
1705000,Closed fracture of base of neck of femur (disorder),Closed fracture of base of neck of femur,disorder
1710001,Uric acid (substance),Uric acid,substance
1732005,Thoracic duct structure (body structure),Thoracic duct structure,body structure
1742007,Female hypererotism (finding),Female hypererotism,finding
1748006,Thrombophlebitis of deep femoral vein (disorder),Thrombophlebitis of deep femoral vein,disorder
1755008,Old myocardial infarction (disorder),Old myocardial infarction,disorder
1759002,Assessment of nutritional status (procedure),Assessment of nutritional status,procedure
1761006,Biliary cirrhosis (disorder),Biliary cirrhosis,disorder
1776003,Renal tubular acidosis (disorder),Renal tubular acidosis,disorder
1807002,Forceps delivery failed (situation),Forceps delivery failed,situation
1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)","Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",disorder
1847009,Endophthalmitis (disorder),Endophthalmitis,disorder
1849007,Structure of pharyngeal recess (body structure),Structure of pharyngeal recess,body structure
1855002,Developmental academic disorder (disorder),Developmental academic disorder,disorder
1857005,Congenital rubella syndrome (disorder),Congenital rubella syndrome,disorder
1860003,Fluid volume disorder (disorder),Fluid volume disorder,disorder
1896004,Ectopic breast tissue (disorder),Ectopic breast tissue,disorder
1902009,Skin structure of ear (body structure),Skin structure of ear,body structure
1910005,Entire ear (body structure),Entire ear,body structure
1912002,Fall (event),Fall,event
1918003,Structure of suprarenal aorta (body structure),Structure of suprarenal aorta,body structure
1919006,Egyptians (ethnic group),Egyptians,ethnic group
1963002,Paroxysmal nocturnal hemoglobinuria (disorder),Paroxysmal nocturnal hemoglobinuria,disorder
1985008,Vomitus (substance),Vomitus,substance
